Delta	 Theta	 Low Alpha	 High Alpha	 Low Beta	 High Beta	 Low Gamma	 High Gamma	 Attention	 Meditation
342522	 454414	 104877	 31895	 23839	 17182	 7374	 18985	 0	 0	 
953	 1097	 752	 593	 474	 264	 74	 39	 0	 0	 
396408	 93697	 13963	 13245	 2907	 409	 375	 219	 0	 0	 
152240	 221032	 10319	 5067	 631	 725	 873	 763	 0	 0	 
787955	 94021	 33898	 7289	 9514	 2424	 1056	 397	 0	 0	 
2246940	 126656	 32589	 29069	 13359	 10870	 4565	 2265	 0	 0	 
1249693	 40505	 10934	 2411	 5718	 2701	 1143	 727	 0	 0	 
253694	 15170	 12873	 12159	 4245	 4864	 2106	 959	 53	 53	 
31049	 115225	 71005	 39956	 8396	 20515	 7749	 15541	 63	 61	 
841178	 262932	 8299	 10084	 6938	 16056	 15821	 4410	 67	 43	 
232050	 282139	 163674	 44619	 21481	 27856	 6354	 6869	 74	 51	 
1542573	 87724	 2998	 10395	 11399	 3778	 2685	 812	 60	 27	 
22783	 9290	 1320	 909	 706	 496	 245	 360	 51	 16	 
65863	 21794	 3044	 3989	 1001	 4631	 2855	 785	 63	 34	 
390617	 19369	 13435	 5924	 2245	 3725	 2414	 1152	 69	 37	 
287537	 84910	 9632	 3900	 1942	 5509	 2701	 1927	 74	 38	 
161891	 96798	 2512	 7909	 5884	 5131	 1381	 933	 75	 27	 
901270	 146522	 40422	 31532	 26361	 36309	 19253	 12165	 75	 30	 
518840	 27117	 2404	 2540	 1702	 4702	 806	 625	 78	 11	 
1279623	 17117	 8990	 841	 10148	 3772	 1976	 614	 90	 20	 
141835	 33987	 2310	 1223	 1137	 1489	 173	 644	 87	 20	 
520953	 20473	 3448	 1649	 1670	 488	 486	 296	 63	 13	 
175363	 108375	 23048	 14820	 1984	 4887	 3295	 1351	 48	 23	 
703732	 19840	 12212	 13149	 4300	 3103	 624	 274	 40	 37	 
