Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 285106	 347500	 50773	 30097	 23447	 9052	 13681	 19707	 0	 0	 
0	 142910	 10839	 2059	 1685	 1081	 1896	 1377	 379	 0	 0	 
0	 55889	 54398	 12472	 13992	 3973	 7749	 5213	 848	 0	 0	 
0	 1397491	 213197	 46911	 38199	 11096	 12919	 21245	 5280	 40	 51	 
0	 1453097	 122358	 11494	 3178	 12756	 11109	 11556	 5926	 47	 34	 
0	 402910	 56067	 32968	 16496	 4548	 26429	 13638	 9476	 69	 56	 
0	 617657	 472390	 26158	 121301	 21964	 51337	 29516	 21524	 78	 61	 
0	 417806	 38125	 7351	 8933	 4729	 1635	 1815	 658	 74	 61	 
0	 212535	 7589	 10619	 4220	 7930	 10139	 3536	 1678	 90	 100	 
0	 1223159	 333404	 40701	 33219	 16233	 39749	 39119	 23616	 75	 78	 
0	 472081	 117096	 21662	 24863	 29432	 15168	 21960	 10373	 70	 80	 
0	 600037	 155285	 16144	 14025	 25794	 25012	 15496	 4314	 87	 57	 
0	 1811419	 653650	 62033	 32961	 35033	 88593	 49836	 44603	 70	 20	 
0	 394401	 58723	 9940	 2514	 2133	 7141	 4939	 747	 70	 16	 
0	 28374	 31355	 1690	 1702	 1064	 1183	 1019	 435	 61	 1	 
0	 1341570	 839313	 43389	 61548	 21080	 32740	 32137	 15849	 47	 1	 
0	 239741	 252600	 17300	 21166	 25230	 21611	 9615	 2541	 41	 1	 
0	 298356	 43963	 16860	 5343	 2703	 5150	 1793	 3408	 40	 11	 
0	 864621	 151346	 20023	 3920	 13019	 24485	 40479	 16827	 53	 17	 
0	 1602712	 403919	 34106	 66598	 57545	 136603	 54680	 27255	 75	 26	 
0	 326242	 133819	 8643	 23705	 6882	 4792	 6774	 5757	 64	 41	 
0	 463452	 80727	 41979	 44909	 5041	 9646	 17911	 1957	 63	 47	 
0	 206666	 135297	 57041	 35214	 7307	 32200	 7556	 7152	 63	 74	 
0	 1448575	 104550	 14120	 8253	 11304	 16933	 21369	 8835	 56	 67	 
0	 1226983	 224060	 81346	 202123	 44756	 26501	 42608	 19872	 61	 88	 
0	 1590183	 75427	 22058	 15783	 23721	 17319	 23794	 9613	 74	 69	 
