Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
331813	 194468	 50171	 54202	 21612	 3762	 6457	 16683	 0	 0	 
14142	 5777	 2558	 2117	 4833	 2381	 2257	 2578	 0	 0	 
518585	 28795	 33545	 20987	 17919	 16361	 17795	 2841	 0	 0	 
319277	 15874	 9189	 99891	 6349	 20451	 13723	 4125	 48	 51	 
109848	 54585	 35885	 97253	 11418	 8574	 5846	 3869	 50	 61	 
203586	 86436	 29066	 91156	 39951	 16702	 11925	 3427	 56	 61	 
26662	 35749	 18044	 38840	 15170	 5655	 10715	 2038	 60	 63	 
28032	 11096	 32910	 166718	 7574	 9749	 6996	 3563	 51	 75	 
99651	 21675	 41090	 102264	 4920	 4290	 5711	 7201	 48	 83	 
164352	 17743	 36004	 25038	 13387	 10572	 7150	 3710	 51	 90	 
26424	 18753	 10208	 49382	 7207	 9744	 7574	 4007	 56	 94	 
124420	 45912	 19255	 109259	 7593	 11986	 12494	 2472	 57	 81	 
23028	 28978	 50304	 79672	 20987	 9284	 6527	 2905	 64	 75	 
81252	 20709	 29154	 184296	 10270	 10931	 10448	 4610	 56	 88	 
57405	 41179	 6335	 3465	 17723	 17858	 12708	 7699	 63	 61	 
472527	 281209	 6967	 17356	 10498	 15437	 13020	 9269	 61	 34	 
13181	 15608	 6596	 15517	 4026	 14725	 7956	 3422	 75	 23	 
659139	 144192	 51583	 6653	 27026	 7533	 9640	 1831	 74	 1	 
74143	 70626	 8424	 68407	 22449	 7427	 16706	 2923	 60	 20	 
43630	 15824	 57577	 29647	 4558	 8127	 16699	 3950	 63	 54	 
56293	 22001	 41868	 25883	 12568	 9333	 5903	 5607	 54	 64	 
45810	 31627	 32135	 150121	 17514	 11245	 9396	 3472	 56	 84	 
16010	 45356	 26828	 231390	 15740	 7938	 4598	 6214	 51	 97	 
153938	 16187	 15036	 23414	 9072	 12485	 8161	 4487	 60	 88	 
92160	 24567	 72996	 77319	 24340	 8922	 12976	 7215	 53	 91	 
115962	 28661	 19237	 46556	 13864	 15350	 3847	 8473	 63	 83	 
