Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
766088	 607542	 196877	 78135	 84276	 35773	 26362	 62700	 0	 0	 
37529	 166155	 49486	 56579	 21783	 15699	 23793	 17170	 0	 0	 
694879	 133668	 53212	 7983	 18817	 3676	 5402	 2571	 0	 0	 
24803	 15854	 18765	 23330	 7841	 17894	 24597	 14613	 53	 54	 
1565366	 278889	 44479	 39589	 18326	 17020	 20749	 5538	 51	 38	 
1532607	 46111	 46544	 16236	 40658	 16774	 12023	 16053	 60	 43	 
928115	 47005	 12929	 2801	 5742	 5985	 1711	 8527	 63	 26	 
6412	 9610	 12518	 11840	 5031	 31272	 7923	 5350	 74	 10	 
23748	 12652	 9499	 4965	 3071	 8557	 7535	 8240	 88	 29	 
53543	 36070	 25436	 15052	 15725	 20390	 9700	 7958	 91	 26	 
531332	 15784	 8365	 8565	 1698	 4644	 3314	 3379	 96	 53	 
638567	 80584	 26708	 25671	 26624	 17198	 7214	 4241	 80	 47	 
253861	 307533	 76092	 20390	 28749	 75110	 8915	 13673	 77	 24	 
638426	 267704	 27925	 47034	 4881	 9940	 4451	 1389	 57	 10	 
325346	 27769	 14726	 7477	 4617	 2809	 1850	 997	 50	 1	 
594916	 97532	 11138	 18092	 17917	 15172	 20830	 3757	 50	 1	 
136081	 236698	 26653	 20403	 9389	 32950	 30757	 25498	 47	 1	 
1010302	 187410	 39052	 30600	 29645	 20367	 23595	 22423	 53	 1	 
116131	 54918	 7555	 4876	 2118	 3064	 2464	 1065	 51	 1	 
34563	 19087	 10589	 6205	 6990	 3742	 2027	 1081	 51	 4	 
828571	 100539	 95316	 5822	 15181	 9236	 7631	 4628	 43	 34	 
425218	 116660	 68568	 32864	 9312	 11940	 12810	 5378	 40	 50	 
785818	 34449	 7144	 21864	 13762	 6891	 7721	 2807	 48	 67	 
157655	 64070	 26441	 11249	 24145	 14650	 5108	 6323	 50	 60	 
321391	 41638	 9339	 882	 2121	 3350	 1289	 669	 53	 35	 
