Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
171405	 64519	 5439	 5003	 5441	 2206	 1615	 3736	 0	 0	 
62593	 5996	 1678	 2552	 655	 957	 274	 160	 0	 0	 
143851	 24197	 4791	 7843	 7091	 4000	 1137	 674	 0	 0	 
513733	 87740	 35465	 27898	 14877	 9165	 1984	 1111	 41	 51	 
169817	 30846	 20019	 14040	 10376	 8541	 7092	 913	 56	 67	 
22237	 3948	 845	 16303	 4474	 18090	 6016	 1486	 80	 83	 
399761	 166436	 53792	 18128	 12888	 19732	 6838	 4058	 80	 88	 
104908	 39603	 14619	 5956	 8360	 12973	 9055	 6685	 87	 80	 
125959	 32617	 4376	 15052	 12268	 12576	 9646	 11641	 83	 67	 
136998	 32094	 23812	 9763	 5857	 6385	 8146	 3803	 60	 70	 
62386	 16571	 21983	 18931	 6386	 14311	 6846	 4490	 70	 87	 
17433	 61939	 3489	 4017	 8091	 16447	 5445	 2713	 74	 64	 
228257	 9994	 1662	 792	 597	 742	 348	 223	 56	 57	 
117012	 12222	 12437	 2964	 11595	 16703	 3197	 3132	 78	 48	 
246744	 158459	 74742	 15453	 10523	 13197	 5426	 1799	 61	 38	 
564694	 89020	 34143	 14663	 11206	 12537	 3220	 1478	 51	 61	 
3394	 20497	 14573	 30898	 18323	 20329	 5192	 2992	 66	 81	 
4530	 10680	 2647	 22050	 5724	 10602	 9365	 3559	 60	 93	 
241921	 71586	 10527	 10797	 4532	 4949	 1814	 2001	 60	 83	 
1213807	 413261	 30298	 21547	 31823	 13523	 17850	 5847	 48	 63	 
137460	 27602	 1655	 2304	 4459	 1331	 1072	 647	 27	 35	 
8940	 25953	 11333	 11147	 14500	 16045	 4864	 2141	 29	 21	 
375978	 69353	 1677	 6092	 2713	 4062	 733	 1422	 29	 8	 
17150	 14889	 12487	 20405	 11721	 8462	 10429	 8592	 50	 40	 
171117	 11084	 1623	 909	 715	 723	 221	 444	 53	 48	 
16802	 18985	 645	 4907	 12523	 7387	 5913	 4645	 51	 34	 
18585	 53245	 11869	 3963	 8579	 6556	 5408	 2000	 57	 44	 
81884	 23097	 2913	 872	 1016	 789	 216	 138	 38	 16	 
669763	 273332	 68182	 24980	 32374	 17736	 4964	 5390	 37	 23	 
74863	 84452	 15683	 25801	 10984	 1949	 8711	 1467	 4	 41	 
181267	 34625	 14308	 1533	 4336	 3266	 600	 544	 1	 48	 
56835	 15505	 6394	 17552	 12328	 7592	 4138	 3826	 21	 70	 
