Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 1239095	 1198704	 168490	 90857	 47797	 32730	 35578	 62755	 0	 0	 
0	 2043029	 115873	 24054	 45020	 7933	 33344	 9059	 9819	 0	 0	 
0	 432082	 63286	 4447	 4803	 5057	 6470	 1720	 2163	 0	 0	 
0	 66622	 57099	 6613	 37013	 16002	 10136	 5209	 5343	 47	 51	 
0	 489975	 50413	 12804	 7360	 8610	 3103	 1963	 1858	 44	 56	 
0	 1811539	 105298	 11570	 20885	 3635	 5342	 4983	 1312	 41	 61	 
0	 111939	 66670	 18300	 7919	 12209	 21649	 12915	 5166	 56	 64	 
0	 22294	 7845	 3440	 7982	 10525	 15095	 4503	 2943	 74	 57	 
0	 134619	 4785	 12759	 18900	 6759	 10177	 6730	 5873	 90	 77	 
0	 43594	 51556	 8958	 12471	 5603	 8552	 3327	 7092	 100	 74	 
0	 224430	 267647	 12262	 29499	 36515	 30958	 7120	 4372	 90	 61	 
0	 177549	 21754	 22625	 21302	 6965	 35194	 33852	 2877	 87	 67	 
0	 272894	 15505	 37310	 9911	 4540	 14830	 9486	 6815	 84	 67	 
0	 87546	 3812	 810	 2314	 2568	 3877	 1871	 694	 100	 67	 
0	 44953	 35035	 6477	 15182	 13838	 13261	 3989	 3979	 100	 80	 
0	 16958	 13855	 1827	 10496	 10646	 12719	 9119	 1916	 100	 69	 
0	 14478	 37895	 18898	 14349	 12632	 11977	 3891	 3691	 100	 57	 
0	 355944	 74201	 13430	 1991	 20720	 12538	 25927	 3344	 90	 50	 
0	 21149	 19764	 14312	 14456	 14174	 18613	 9788	 1496	 96	 57	 
0	 579403	 27547	 4744	 7925	 15616	 12474	 3499	 2554	 91	 53	 
0	 19672	 25389	 6581	 4680	 3028	 5943	 5407	 3226	 91	 44	 
0	 59027	 15833	 2858	 2274	 10131	 4907	 819	 1319	 96	 47	 
0	 479359	 44947	 8024	 3593	 2446	 1066	 1778	 629	 67	 35	 
