Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
163067	 126674	 15463	 18282	 3244	 2549	 2889	 4275	 0	 0	 
952649	 530964	 12871	 45226	 21933	 5436	 10807	 2594	 0	 0	 
2774025	 127292	 17030	 23437	 9190	 13979	 6038	 2036	 0	 0	 
1230953	 72980	 56820	 20369	 10936	 2881	 2931	 1413	 38	 53	 
149569	 14033	 10116	 1123	 1850	 1983	 1688	 658	 51	 61	 
2209372	 306503	 71958	 48238	 31549	 10291	 9919	 8109	 53	 66	 
486359	 38327	 4872	 6792	 6466	 3281	 4010	 745	 63	 66	 
544360	 134127	 10411	 2415	 3455	 9599	 3119	 3123	 77	 43	 
154242	 35354	 2298	 1796	 2614	 4379	 3968	 4161	 80	 24	 
37891	 11597	 8192	 3689	 3883	 6609	 15433	 6071	 100	 27	 
29892	 7779	 5242	 6311	 6556	 7908	 6310	 4410	 100	 37	 
371988	 96808	 13751	 3404	 6544	 4145	 5594	 2382	 100	 43	 
979960	 342039	 103426	 144214	 74371	 74263	 16399	 5844	 100	 60	 
768949	 117935	 32262	 25300	 8934	 7454	 3194	 2531	 83	 57	 
884525	 168479	 31018	 32600	 9117	 15122	 2946	 1389	 83	 57	 
140262	 59762	 6025	 6708	 1327	 4165	 4347	 640	 66	 48	 
289597	 59644	 5991	 2914	 17210	 3334	 1996	 1019	 67	 44	 
198536	 16944	 2004	 525	 1426	 2017	 2844	 1832	 64	 29	 
400797	 32524	 14323	 6847	 1599	 3229	 914	 902	 67	 30	 
1829096	 271812	 15112	 30918	 28262	 11556	 7220	 8575	 63	 29	 
118491	 18699	 10707	 2302	 7534	 4559	 6173	 2639	 70	 41	 
215015	 147906	 14725	 28863	 6618	 8211	 10147	 4076	 64	 50	 
303399	 80476	 11990	 18222	 25808	 15120	 21599	 8319	 74	 41	 
272229	 15214	 3355	 11330	 8552	 979	 3243	 3213	 70	 54	 
8657	 10847	 5914	 25735	 7888	 23566	 15123	 4791	 81	 61	 
245466	 131000	 21794	 16045	 7090	 7988	 11634	 7959	 81	 61	 
1472685	 645847	 80924	 25524	 26315	 8564	 10006	 10741	 60	 56	 
