Delta	 Theta	 Low Alpha	 High Alpha	 Low Beta	 High Beta	 Low Gamma	 High Gamma	 Attention	 Meditation
777436	 485260	 35547	 63966	 94053	 52042	 37674	 20629	 0	 0	 
1459161	 116258	 83354	 151573	 87156	 65651	 42188	 4118	 0	 0	 
70903	 21024	 10634	 7805	 6121	 8666	 3999	 2926	 0	 0	 
22811	 65628	 8764	 3347	 6113	 10001	 7356	 3634	 40	 30	 
750442	 63920	 14284	 13743	 11861	 8989	 12186	 3179	 34	 34	 
18740	 27820	 6965	 8703	 26554	 19505	 2533	 4907	 56	 27	 
845890	 47103	 30174	 4153	 8005	 13014	 5903	 5512	 60	 35	 
602941	 57224	 13652	 30107	 13179	 11961	 4572	 3252	 54	 50	 
29891	 7082	 2858	 11684	 4473	 8957	 5873	 2658	 81	 60	 
14257	 44960	 17333	 13815	 4980	 8839	 4713	 3266	 53	 70	 
24243	 4286	 1356	 3180	 7957	 6002	 3927	 1484	 75	 63	 
90081	 12203	 1941	 1021	 1098	 646	 617	 165	 61	 51	 
285066	 66170	 17760	 23802	 6228	 2560	 3497	 1111	 21	 48	 
1406644	 119273	 71426	 44679	 16892	 15816	 7099	 8583	 20	 53	 
63688	 38864	 4842	 13673	 9891	 7385	 4863	 2673	 1	 56	 
24764	 7266	 20004	 4310	 4149	 6783	 3744	 1502	 26	 78	 
4116	 6602	 1828	 12985	 9694	 4659	 2356	 1937	 54	 81	 
4464	 10061	 4630	 8588	 11268	 11073	 3783	 3568	 80	 74	 
1629	 14174	 9680	 3411	 6065	 5018	 5293	 2523	 83	 78	 
70729	 31922	 6536	 13788	 5952	 6343	 3134	 1938	 77	 64	 
362494	 108308	 3462	 14701	 11658	 18477	 17322	 3795	 70	 44	 
613076	 464214	 20875	 9231	 20884	 19440	 11275	 4649	 40	 23	 
1941030	 426549	 12555	 11237	 15367	 21302	 4266	 2177	 23	 1	 
268620	 4733	 1469	 3533	 2623	 3502	 1112	 770	 37	 1	 
