Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
203476	 153670	 69405	 19263	 13255	 2983	 8180	 14386	 0	 0	 
73450	 57244	 8725	 7386	 5373	 4551	 2058	 672	 0	 0	 
730011	 66889	 29944	 33119	 5176	 5092	 3820	 1079	 0	 0	 
1722810	 64999	 8163	 21943	 13831	 7658	 1905	 2244	 51	 38	 
1247416	 148923	 27389	 24863	 6644	 7190	 2788	 1999	 56	 37	 
1930108	 155501	 22007	 57389	 16715	 31753	 3911	 1524	 75	 37	 
891852	 301381	 172797	 27459	 24009	 12106	 15066	 5369	 74	 44	 
1446919	 44666	 19761	 8412	 8436	 8888	 2640	 1238	 78	 48	 
308324	 359320	 75045	 29606	 63337	 44979	 13545	 6446	 87	 41	 
71169	 40015	 618	 4059	 6295	 7341	 1714	 511	 90	 21	 
24428	 26422	 1714	 762	 575	 1060	 976	 171	 96	 1	 
261274	 47631	 5899	 9095	 2878	 1380	 1141	 553	 77	 1	 
50315	 12280	 1854	 3103	 537	 1576	 592	 74	 77	 3	 
1526539	 560062	 24694	 145360	 70263	 22697	 14186	 3935	 56	 20	 
2344112	 104122	 28544	 21786	 13095	 11323	 4997	 2129	 56	 20	 
696512	 101265	 3730	 2429	 12471	 2762	 1290	 2028	 53	 20	 
84005	 110550	 5055	 5430	 2723	 2166	 2248	 977	 51	 8	 
120689	 32031	 7458	 8546	 3742	 3127	 914	 2081	 48	 14	 
410860	 48643	 22443	 11833	 3691	 1882	 1058	 706	 44	 29	 
203769	 131653	 27310	 8690	 7878	 7766	 2266	 1515	 51	 50	 
1780850	 186719	 96443	 66134	 37705	 27343	 16084	 3640	 67	 74	 
592845	 88191	 8832	 14628	 6535	 3589	 1605	 1221	 61	 66	 
61753	 13525	 2128	 3378	 5745	 828	 773	 296	 67	 54	 
485252	 204881	 42056	 22732	 33877	 18973	 8419	 6078	 70	 54	 
63329	 30343	 21254	 4830	 4352	 4661	 695	 723	 70	 56	 
1266297	 251653	 18322	 65415	 59127	 33616	 3290	 7247	 84	 57	 
