Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
435180	 596867	 71199	 38080	 9767	 15721	 13312	 16722	 0	 0	 
86178	 10986	 2681	 4627	 4412	 2613	 800	 1537	 0	 0	 
205961	 62363	 7884	 45958	 5997	 8547	 13867	 4667	 0	 0	 
629610	 16012	 2115	 3067	 1711	 914	 768	 222	 38	 38	 
586557	 75042	 6758	 9384	 5942	 6352	 1409	 1878	 38	 38	 
94516	 2551	 889	 1970	 3326	 3863	 1136	 353	 61	 37	 
598186	 549936	 26826	 20594	 83568	 51708	 28582	 9435	 63	 17	 
1021746	 41559	 8944	 17226	 9129	 9435	 3595	 2401	 69	 26	 
1518909	 113469	 20575	 36908	 11096	 15782	 4174	 2416	 69	 26	 
463457	 13687	 1007	 7967	 827	 411	 544	 161	 69	 26	 
567829	 21370	 1317	 8699	 2151	 2748	 3623	 1352	 74	 34	 
158992	 41076	 4078	 6263	 2865	 4056	 3003	 883	 51	 34	 
911322	 52995	 8216	 22561	 13858	 7234	 4135	 965	 51	 34	 
635563	 29171	 11525	 3439	 5157	 2567	 1626	 872	 48	 56	 
1704961	 82645	 4559	 12802	 9851	 9741	 3999	 1303	 48	 56	 
2418983	 162475	 11347	 6994	 10396	 12172	 3067	 2458	 48	 56	 
1449858	 256358	 46466	 116520	 18512	 49730	 74459	 23726	 48	 60	 
230876	 71508	 10501	 1215	 5658	 11700	 9321	 3381	 53	 44	 
450646	 55613	 34148	 17945	 11804	 7861	 2184	 2739	 51	 60	 
691762	 45534	 9216	 8010	 6884	 3087	 791	 814	 51	 60	 
1011645	 62420	 15356	 5481	 1929	 4080	 955	 814	 51	 60	 
387451	 41433	 20736	 5966	 6899	 3295	 2998	 1904	 48	 64	 
1174429	 40001	 1866	 17744	 2770	 3989	 1416	 3736	 43	 61	 
619871	 26619	 13885	 21389	 6170	 10318	 4388	 1292	 44	 88	 
861476	 229752	 77403	 32831	 16011	 12170	 25845	 2703	 37	 81	 
933438	 52596	 15528	 5459	 3701	 8326	 9039	 6602	 47	 74	 
