Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
42402	 33288	 18688	 9583	 4594	 1979	 5007	 4176	 0	 0	 
452992	 37284	 4482	 3755	 5348	 2681	 1677	 1456	 0	 0	 
656697	 73419	 12519	 15427	 2359	 8264	 9195	 2339	 0	 0	 
309902	 64734	 18584	 6490	 16410	 3534	 7725	 5488	 37	 38	 
300467	 40239	 11988	 21303	 45216	 21618	 9253	 8755	 60	 40	 
666814	 91494	 13541	 20559	 13716	 19454	 27138	 5771	 74	 37	 
102407	 14288	 3856	 1786	 2576	 3317	 3646	 1209	 87	 37	 
128128	 21170	 1878	 16627	 3193	 7110	 7941	 8109	 100	 48	 
1616567	 202241	 17341	 18789	 16798	 26459	 15159	 20043	 90	 35	 
52919	 34749	 7777	 1380	 1458	 1671	 1379	 750	 69	 30	 
165720	 37437	 6605	 3180	 3800	 3354	 801	 882	 57	 27	 
37645	 29045	 3762	 12439	 22542	 29777	 11922	 8617	 66	 10	 
118482	 28800	 859	 5372	 3691	 1148	 708	 662	 47	 13	 
333182	 205536	 74504	 39837	 16987	 13285	 11266	 11530	 43	 24	 
953041	 42855	 7060	 10784	 8627	 8702	 4783	 1865	 48	 27	 
271815	 13942	 697	 966	 631	 840	 593	 337	 17	 16	 
7050	 21893	 2648	 4562	 13962	 7828	 9182	 2410	 44	 17	 
16451	 8663	 11644	 8842	 16278	 9871	 6817	 7633	 69	 21	 
29256	 6148	 1809	 5463	 17604	 9218	 10061	 7159	 87	 16	 
224944	 69005	 8927	 5996	 7941	 6393	 3736	 986	 90	 26	 
41217	 44555	 12698	 7368	 1068	 4122	 2513	 1771	 70	 40	 
535479	 54164	 14150	 34275	 12307	 20491	 7651	 4173	 64	 38	 
196507	 56629	 599	 5409	 4171	 2601	 3954	 1053	 34	 24	 
1548670	 238628	 37472	 24070	 10892	 19569	 7885	 4265	 29	 29	 
40398	 6130	 4422	 8013	 6065	 10568	 3428	 5506	 54	 38	 
47307	 37532	 8198	 7193	 26706	 23220	 8008	 8337	 63	 23	 
1061606	 145341	 53845	 10372	 8192	 15800	 20500	 12730	 70	 47	 
164864	 25046	 2840	 2381	 2989	 1180	 649	 232	 66	 41	 
138580	 8496	 2154	 908	 2809	 960	 490	 89	 44	 29	 
110376	 45244	 7866	 13258	 5420	 5407	 1941	 1565	 24	 40	 
44362	 11590	 37080	 16702	 22149	 31455	 9852	 3830	 44	 53	 
1187374	 97619	 18839	 16225	 33608	 42218	 20300	 11584	 67	 54	 
254625	 12824	 3713	 7489	 1524	 4796	 3216	 1462	 78	 67	 
23539	 39174	 41193	 14332	 26643	 19640	 4783	 2780	 90	 77	 
49448	 10727	 1385	 1307	 1571	 1254	 397	 352	 69	 53	 
26401	 17049	 8345	 11257	 10063	 18330	 5977	 5910	 77	 64	 
11035	 2683	 4388	 4825	 5824	 5738	 18368	 2796	 87	 66	 
6271	 16343	 3470	 4435	 1711	 13363	 12717	 4318	 97	 51	 
93388	 29176	 7931	 5593	 4632	 9037	 3145	 1768	 100	 60	 
114448	 15230	 1208	 5833	 2336	 966	 941	 238	 81	 56	 
620027	 304526	 18741	 14700	 18153	 14928	 7062	 1690	 53	 27	 
72833	 98357	 10838	 8840	 18755	 7209	 6287	 1497	 27	 20	 
165373	 9953	 1989	 1753	 1290	 1017	 670	 410	 16	 20	 
136865	 7702	 911	 2176	 3101	 2685	 952	 640	 35	 13	 
789453	 95350	 8899	 70545	 43229	 7809	 16956	 1416	 37	 40	 
73560	 22321	 2617	 6750	 11673	 9935	 10213	 6007	 53	 47	 
219862	 63002	 4357	 10113	 2145	 2063	 2269	 991	 43	 38	 
123825	 70752	 102403	 18454	 10391	 10709	 22150	 4184	 24	 64	 
492425	 191122	 29542	 39761	 16611	 16090	 20118	 4402	 27	 56	 
283451	 23001	 6416	 3363	 2732	 1188	 1486	 1575	 3	 64	 
69808	 64857	 20312	 5720	 4380	 1926	 1195	 932	 1	 74	 
2347643	 432759	 55236	 40969	 40229	 12327	 8233	 7718	 1	 43	 
137505	 45814	 10162	 3942	 3111	 2973	 1570	 339	 1	 40	 
24165	 20851	 44298	 23397	 12956	 10416	 6111	 3361	 1	 60	 
59034	 26457	 1224	 7241	 1966	 1957	 3776	 693	 13	 54	 
785639	 179596	 16547	 8412	 6604	 23737	 7486	 7253	 30	 47	 
