Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1148100	 818571	 201491	 93711	 53906	 81136	 40420	 50145	 0	 0	 
150090	 84577	 29548	 23405	 17964	 23804	 14739	 8159	 0	 0	 
50171	 30703	 3514	 3476	 4667	 2766	 4955	 418	 0	 0	 
1571279	 388245	 36302	 78417	 23102	 39560	 24189	 12402	 0	 0	 
1275278	 228448	 15249	 21691	 32267	 40374	 7122	 11327	 48	 30	 
324564	 20791	 7832	 23531	 16758	 25324	 44864	 6711	 70	 51	 
36765	 51145	 32086	 25881	 23128	 11062	 13191	 5562	 66	 75	 
144594	 39456	 3506	 5667	 6605	 7354	 5845	 1872	 69	 69	 
720940	 67358	 35779	 10314	 6855	 13377	 6337	 4614	 60	 96	 
902786	 91793	 13177	 27572	 11568	 19052	 6349	 6266	 38	 84	 
138801	 17333	 1332	 7837	 2938	 2953	 1913	 1684	 41	 75	 
87284	 227111	 8535	 26441	 26366	 20882	 7839	 18122	 29	 69	 
1463417	 283653	 51136	 34996	 55818	 29366	 9626	 11216	 21	 53	 
9447	 3264	 12810	 5148	 20381	 20337	 9352	 6637	 44	 57	 
93828	 26915	 4303	 6528	 4467	 19515	 6220	 1497	 63	 47	 
141278	 85590	 74329	 14699	 37732	 37558	 9764	 8050	 75	 75	 
1258693	 86351	 14325	 29597	 9321	 13396	 4055	 2293	 77	 83	 
254409	 38202	 20448	 9992	 2984	 5292	 2387	 741	 41	 91	 
138043	 95760	 15504	 3115	 5313	 4978	 1300	 508	 8	 90	 
231489	 42575	 4326	 9049	 7147	 3626	 1622	 1133	 1	 77	 
333411	 47553	 4040	 8354	 1475	 2964	 2573	 2263	 1	 67	 
605662	 104203	 7122	 6904	 11133	 13431	 18516	 1763	 1	 34	 
143131	 23704	 9619	 7007	 2033	 1878	 2259	 231	 1	 56	 
60019	 10761	 5227	 24258	 5959	 31733	 5699	 9789	 23	 75	 
14753	 50796	 6160	 30808	 17716	 10440	 22720	 3862	 37	 87	 
314137	 92244	 21849	 26892	 67915	 35877	 18185	 7452	 47	 100	 
