Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
196471	 359176	 15449	 40739	 8936	 4716	 5892	 12842	 0	 0	 
188004	 53235	 17689	 7816	 25945	 19976	 8424	 4825	 0	 0	 
250200	 30929	 13315	 7376	 8189	 5101	 2756	 873	 0	 0	 
109188	 23614	 2631	 3177	 1402	 1890	 1067	 156	 0	 0	 
1797675	 108528	 1025	 7679	 11891	 34666	 9512	 9436	 51	 30	 
71466	 7316	 2581	 530	 1691	 1567	 561	 301	 54	 40	 
38469	 20065	 2285	 1449	 534	 1297	 861	 234	 47	 43	 
2195192	 61834	 28763	 16224	 19771	 5134	 2980	 613	 35	 56	 
919763	 73449	 5465	 7495	 4819	 3725	 735	 636	 8	 66	 
435686	 156307	 31572	 113955	 18648	 30049	 13356	 5594	 3	 75	 
629183	 46329	 17718	 7248	 4295	 2156	 2102	 480	 1	 84	 
152550	 42463	 19061	 16489	 7449	 6330	 3919	 1318	 1	 88	 
933992	 337985	 31718	 47660	 57017	 22918	 14092	 13284	 4	 90	 
214706	 67253	 5860	 5433	 2620	 2511	 2452	 926	 1	 77	 
76245	 230107	 8051	 12396	 23109	 32522	 17955	 4017	 10	 56	 
359835	 150890	 10617	 3825	 8976	 3178	 2124	 1195	 1	 37	 
13097	 21006	 4446	 1273	 3534	 956	 395	 159	 1	 38	 
128876	 49393	 28129	 63623	 7273	 13825	 7475	 3755	 11	 60	 
579994	 105651	 18954	 6365	 10513	 5802	 2177	 1758	 3	 69	 
251957	 44437	 2886	 4059	 4519	 4428	 930	 820	 21	 74	 
64393	 6708	 1674	 2886	 1970	 1785	 782	 183	 40	 78	 
746458	 147884	 31160	 23590	 10232	 17297	 23053	 4976	 38	 64	 
299987	 143381	 41566	 18927	 15378	 25048	 10758	 3726	 51	 67	 
1210627	 64709	 35146	 72516	 14025	 16261	 10345	 4756	 51	 91	 
175820	 13501	 4906	 1629	 1813	 3010	 483	 318	 51	 90	 
1595965	 341477	 58535	 27013	 50618	 29369	 13295	 4447	 48	 84	 
