Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
2177757	 862182	 347590	 235084	 123052	 56655	 44525	 56260	 0	 0	 
53594	 49490	 11881	 5395	 4865	 7216	 3221	 1521	 0	 0	 
89115	 31454	 15061	 4538	 2126	 2457	 889	 459	 0	 0	 
10765	 9798	 3310	 5953	 4178	 2943	 953	 455	 51	 51	 
1266248	 37244	 42885	 49271	 9081	 21977	 8089	 4950	 66	 75	 
864385	 486756	 15287	 44215	 19576	 24916	 11004	 4881	 61	 56	 
1132657	 24907	 8870	 27615	 8037	 14223	 27079	 1683	 80	 74	 
1437465	 206309	 160737	 73940	 20053	 54038	 20756	 5255	 77	 77	 
101045	 103447	 21128	 143936	 10008	 43910	 17786	 2611	 77	 75	 
766027	 335247	 89061	 19928	 39013	 34205	 11897	 2903	 84	 91	 
332267	 63053	 7855	 30008	 11205	 6666	 5630	 301	 66	 84	 
72927	 53354	 21186	 10996	 2641	 2940	 1620	 716	 47	 77	 
1342757	 13679	 1843	 15688	 8673	 4217	 1806	 788	 44	 69	 
692966	 94545	 45235	 14699	 33482	 14389	 14894	 3879	 48	 77	 
877829	 11430	 6616	 9922	 5975	 6262	 3939	 1335	 66	 84	 
570434	 101464	 100589	 63077	 17081	 6372	 6374	 3498	 60	 97	 
127879	 43651	 5819	 4675	 3638	 3252	 1781	 875	 47	 77	 
198087	 73176	 54425	 11182	 30534	 8074	 6123	 1241	 40	 84	 
2417135	 59401	 13334	 25118	 38164	 12553	 10711	 4997	 30	 70	 
784830	 188245	 30303	 66043	 19521	 15113	 8083	 5480	 44	 53	 
125244	 90680	 29893	 13463	 35611	 32153	 9124	 7938	 64	 57	 
982321	 248336	 42529	 20968	 26500	 30642	 10391	 8835	 74	 38	 
307952	 63776	 5273	 12853	 2443	 2725	 929	 753	 51	 30	 
15500	 50670	 7385	 28600	 6254	 12938	 3131	 4751	 67	 35	 
22465	 16384	 21327	 11797	 18589	 17919	 5325	 2297	 70	 51	 
27606	 16390	 3768	 21882	 6107	 14343	 6583	 1406	 90	 70	 
